route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-96,20250425,20250425-96-96050,96B - Finch Terminal,,1,oshaw006,389502,1,1,96B
04250625-92,20250425,20250425-92-92121,92 - DC Oshawa GO,,0,oshaw005,389495,1,1,92
04250625-92,20250425,20250425-92-92052,92A - Yorkdale Term,,1,oshaw005,389497,1,1,92A
04250625-92,20250425,20250425-92-92311,92 - DC Oshawa GO,,0,oshaw003,389495,1,1,92
04250625-92,20250425,20250425-92-92220,92 - Yorkdale Term,,1,oshaw003,389496,1,1,92
04250625-88,20250425,20250425-88-88111,88 - DC Oshawa GO,,1,oshaw003,389491,1,1,88
04250625-96,20250425,20250425-96-96281,96B - DC Oshawa GO,,0,oshaw002,389501,1,1,96B
04250625-96,20250425,20250425-96-96160,96B - Finch Terminal,,1,oshaw002,389502,1,1,96B
04250625-96,20250425,20250425-96-96071,96B - DC Oshawa GO,,0,oshaw002,389501,1,1,96B
04250625-96,20250425,20250425-96-96030,96B - Finch Terminal,,1,oshaw002,389502,1,1,96B
04250625-92,20250425,20250425-92-92271,92 - DC Oshawa GO,,0,oshaw001,389495,1,1,92
04250625-92,20250425,20250425-92-92150,92 - Yorkdale Term,,1,oshaw001,389496,1,1,92
04250625-88,20250425,20250425-88-88021,88B - DC Oshawa GO,,1,oshaw001,389492,1,1,88B
04250625-41,20250425,20250425-41-41860,41 - Pickering GO,,0,MDDS9141,388869,1,1,41
04250625-56,20250425,20250425-56-56590,56 - Oakville GO,,1,MDDS9141,388893,1,1,56
04250625-92,20250425,20250425-92-92901,92 - DC Oshawa GO,,0,MDDS9140,389495,1,1,92
04250625-92,20250425,20250425-92-92830,92 - Yorkdale Term,,1,MDDS9140,389496,1,1,92
04250625-88,20250425,20250425-88-88681,88 - DC Oshawa GO,,1,MDDS9140,389491,1,1,88
04250625-88,20250425,20250425-88-88680,88 - Trent U,,0,MDDS9140,389487,1,1,88
04250625-41,20250425,20250425-41-41840,41 - Pickering GO,,0,MDDS9139,388869,1,1,41
04250625-41,20250425,20250425-41-41521,41 - Hamilton GO,,1,MDDS9139,388871,1,1,41
04250625-92,20250425,20250425-92-92811,92 - DC Oshawa GO,,0,MDDS9138,389495,1,1,92
04250625-94,20250425,20250425-94-94671,94 - Pickering GO,,0,MDDS9138,389499,1,1,94
04250625-56,20250425,20250425-56-56512,56A - Square One,,1,MDDS9138,388892,1,1,56A
04250625-56,20250425,20250425-56-56731,56 - DC Oshawa GO,,0,MDDS9137,388896,1,1,56
04250625-56,20250425,20250425-56-56500,56 - Oakville GO,,1,MDDS9137,388893,1,1,56
04250625-96,20250425,20250425-96-96611,96B - DC Oshawa GO,,0,MDDS9136,389501,1,1,96B
04250625-96,20250425,20250425-96-96500,96B - Finch Terminal,,1,MDDS9136,389502,1,1,96B
04250625-41,20250425,20250425-41-41780,41 - Pickering GO,,0,MDDS9135,388869,1,1,41
04250625-41,20250425,20250425-41-41501,41 - Hamilton GO,,1,MDDS9135,388871,1,1,41
04250625-56,20250425,20250425-56-56711,56 - DC Oshawa GO,,0,MDDS9134,388896,1,1,56
04250625-56,20250425,20250425-56-56470,56 - Oakville GO,,1,MDDS9134,388893,1,1,56
04250625-56,20250425,20250425-56-56811,56 - DC Oshawa GO,,0,MDDS9133,388896,1,1,56
04250625-92,20250425,20250425-92-92670,92 - Yorkdale Term,,1,MDDS9133,389496,1,1,92
04250625-96,20250425,20250425-96-96571,96B - DC Oshawa GO,,0,MDDS9133,389501,1,1,96B
04250625-96,20250425,20250425-96-96450,96B - Finch Terminal,,1,MDDS9133,389502,1,1,96B
04250625-56,20250425,20250425-56-56691,56 - DC Oshawa GO,,0,MDDS9132,388896,1,1,56
04250625-56,20250425,20250425-56-56450,56 - Oakville GO,,1,MDDS9132,388893,1,1,56
04250625-41,20250425,20250425-41-41720,41 - Pickering GO,,0,MDDS9131,388869,1,1,41
04250625-41,20250425,20250425-41-41451,41 - Hamilton GO,,1,MDDS9131,388871,1,1,41
04250625-56,20250425,20250425-56-56671,56 - DC Oshawa GO,,0,MDDS9130,388896,1,1,56
04250625-56,20250425,20250425-56-56430,56 - Oakville GO,,1,MDDS9130,388893,1,1,56
04250625-92,20250425,20250425-92-92771,92 - DC Oshawa GO,,0,MDDS9129,389495,1,1,92
04250625-41,20250425,20250425-41-41663,41A - Square One,,1,MDDS9129,388866,1,1,41A
04250625-94,20250425,20250425-94-94501,94 - Pickering GO,,0,MDDS9129,389499,1,1,94
04250625-94,20250425,20250425-94-94410,94 - Square One,,1,MDDS9129,389500,1,1,94
04250625-41,20250425,20250425-41-41620,41 - Pickering GO,,0,MDDS9128,388869,1,1,41
04250625-41,20250425,20250425-41-41391,41 - Hamilton GO,,1,MDDS9128,388871,1,1,41
04250625-56,20250425,20250425-56-56641,56 - DC Oshawa GO,,0,MDDS9127,388896,1,1,56
04250625-41,20250425,20250425-41-41453,41C - Square One,,1,MDDS9127,388868,1,1,41C
04250625-96,20250425,20250425-96-96380,96B - Finch Terminal,,1,MDDS9127,389502,1,1,96B
04250625-56,20250425,20250425-56-56541,56 - DC Oshawa GO,,0,MDDS9126,388896,1,1,56
04250625-56,20250425,20250425-56-56380,56 - Oakville GO,,1,MDDS9126,388893,1,1,56
04250625-41,20250425,20250425-41-41590,41 - Pickering GO,,0,MDDS9125,388869,1,1,41
04250625-41,20250425,20250425-41-41361,41 - Hamilton GO,,1,MDDS9125,388871,1,1,41
04250625-56,20250425,20250425-56-56481,56 - DC Oshawa GO,,0,MDDS9124,388896,1,1,56
04250625-56,20250425,20250425-56-56340,56 - Oakville GO,,1,MDDS9124,388893,1,1,56
04250625-88,20250425,20250425-88-88541,88C - DC Oshawa GO,,1,MDDS9123,389490,1,1,88C
04250625-88,20250425,20250425-88-88560,88C - Trent U,,0,MDDS9123,389489,1,1,88C
04250625-88,20250425,20250425-88-88361,88C - DC Oshawa GO,,1,MDDS9123,389490,1,1,88C
04250625-88,20250425,20250425-88-88380,88C - Trent U,,0,MDDS9123,389489,1,1,88C
04250625-88,20250425,20250425-88-88641,88 - DC Oshawa GO,,1,MDDS9122,389491,1,1,88
04250625-88,20250425,20250425-88-88600,88 - Trent U,,0,MDDS9122,389487,1,1,88
04250625-88,20250425,20250425-88-88341,88 - DC Oshawa GO,,1,MDDS9122,389491,1,1,88
04250625-88,20250425,20250425-88-88340,88 - Trent U,,0,MDDS9122,389487,1,1,88
04250625-41,20250425,20250425-41-41282,41A - Pickering GO,,0,MDDS9121,388872,1,1,41A
04250625-92,20250425,20250425-92-92152,92A - Yorkdale Term,,1,MDDS9121,389497,1,1,92A
04250625-41,20250425,20250425-41-41370,41 - Pickering GO,,0,MDDS9120,388869,1,1,41
04250625-41,20250425,20250425-41-41161,41 - Hamilton GO,,1,MDDS9120,388871,1,1,41
